group,item,estimate_lb,measured_lb,station_in,notes
Wing,"Spar: 1.25 sch40 6061 caps, wrapped 0.020 web, foam core",22.0,,74,
Wing,"Ribs, 31 ea, Douglas fir truss with ply gussets",8.0,,76,
Wing,"D-tube leading edge, 1/16 birch ply",12.0,,62,
Wing,Rear spar / spoileron hinge spar,5.0,,86,
Wing,Trailing edge stock,3.0,,100,
Wing,"Spoilerons, 2, hinges and return springs",4.0,,82,
Wing,"Leading edge slats, full span",6.0,,58,
Wing,"Wing joints: solid rods, sleeves, 8 AN bolts",7.0,,70,
Wing,"Fabric and finish, wing, 260 sq ft",14.0,,76,
Wing,Wing misc hardware,4.0,,74,
Fuselage,"4130 longerons, uprights, diagonals, gussets",31.0,,80,
Fuselage,"Nose bow, structural, ahead of pedals",5.0,,44,
Fuselage,Rollover hoop,4.0,,58,
Fuselage,Cabane / wing carry-through,6.0,,68,
Fuselage,"Seat frame, pan, Confor foam",5.0,,58,
Fuselage,5-point harness,3.0,,58,
Fuselage,Turtledeck formers and stringers,3.0,,110,
Fuselage,"Fabric and finish, fuselage, 100 sq ft",5.5,,80,
Fuselage,Windshield,4.0,,40,deleted on 103 build
Tail,"Horizontal stab and elevator, 30 sq ft",12.0,,182,
Tail,"Vertical fin and rudder, 15 sq ft",6.0,,178,
Tail,Tail attach fittings and bracing,2.0,,180,
Gear,"Main gear, sprung 4130 tubes",8.0,,78,
Gear,"Main wheels and tires, 5.00-5",12.0,,78,
Gear,"Bicycle hydraulic disc brakes, rotors, adapters",2.0,,78,
Gear,"Nose gear leg, wheel, steering linkage",12.0,,34,
Gear,Gear mounts and fittings,4.0,,70,
Controls,"Stick, elevator run, bellcranks",7.0,,60,
Controls,Rudder pedals and cables,5.0,,50,
Controls,"Spoileron line, pulleys, springs",4.0,,72,
Power,"Hirth F-33, 28 hp, dry with exhaust",35.0,,14,
Power,Belt reduction drive,10.0,,20,
Power,"Propeller, wood, 60 in",8.0,,2,
Power,Engine mount,5.0,,13,
Power,"Fuel tank 5 gal, lines, shutoff, primer",8.0,,48,
Systems,"Junco, tablet, mount",4.0,,42,deleted on 103 build
Systems,"Wiring, switches, master",3.0,,50,
Systems,BRS hard points and bridle channel,3.0,,70,
Systems,"AN hardware, paint, placards",8.0,,75,
